post,pre,ds,xcoord,ycoord,easting,northing,load_inv,load_int,vent_dist,village_id
1,1,0,112.28025,-7.88086,641063,9128709,144.057,143.23651,6.8725,3
2,2,0,112.28023,-7.88101,641063,9128709,144.057,143.23651,6.85814,3
1,1,0,112.28137,-7.881,641313,9128709,145.504,143.23651,6.81115,3
1,0,0,112.28048,-7.88068,641063,9128709,144.057,143.23651,6.88129,3
1,0,0,112.27908,-7.88057,641063,9128709,144.057,143.23651,6.95339,3
1,0,0,112.28058,-7.88016,641063,9128709,144.057,143.23651,6.9298,3
1,1,0,112.28001,-7.87994,641063,9128709,144.057,143.23651,6.9763,3
1,0,0,112.27991,-7.87954,641063,9128709,144.057,143.23651,7.02159,3
1,2,0,112.2796,-7.87937,641063,9128709,144.057,143.23651,7.05241,3
1,0,0,112.27969,-7.88003,641063,9128709,144.057,143.23651,6.98077,3
1,0,0,112.27956,-7.88005,641063,9128709,144.057,143.23651,6.98482,3
1,0,0,112.2792,-7.8797,641063,9128709,144.057,143.23651,7.03651,3
1,0,0,112.27937,-7.87962,641063,9128709,144.057,143.23651,7.0372,3
1,1,0,112.27895,-7.87904,641063,9128959,140.855,141.76153,7.11392,3
1,0,0,112.2777,-7.87857,640813,9128959,139.383,141.76153,7.21687,3
1,0,0,112.27752,-7.87838,640813,9128959,139.383,141.76153,7.24414,3
1,2,0,112.27732,-7.87837,640813,9128959,139.383,141.76153,7.2547,3
1,0,0,112.27733,-7.87796,640813,9128959,139.383,141.76153,7.29503,3
1,1,0,112.2767,-7.87837,640813,9128959,139.383,141.76153,7.28275,3
5,0,1,112.27899,-7.88057,641063,9128709,144.057,141.76153,6.95651,3
5,0,1,112.27904,-7.88087,641063,9128709,144.057,143.23651,6.92412,3
4,0,1,112.28012,-7.88037,641063,9128709,144.057,143.23651,6.92779,3
6,0,1,112.28066,-7.88005,641063,9128709,144.057,143.23651,6.93788,3
6,0,1,112.28048,-7.8801,641063,9128709,144.057,143.23651,6.94026,3
6,0,1,112.28038,-7.87998,641063,9128709,144.057,143.23651,6.95652,3
4,0,1,112.28046,-7.87981,641063,9128709,144.057,143.23651,6.97112,3
5,0,1,112.28024,-7.87993,641063,9128709,144.057,143.23651,6.96806,3
6,0,1,112.28016,-7.87982,641063,9128709,144.057,143.23651,6.98282,3
4,0,1,112.28047,-7.88138,641063,9128709,144.057,143.23651,6.81043,3
6,0,1,112.28064,-7.88158,641063,9128459,147.103,143.23651,6.78211,3
6,0,1,112.28077,-7.88169,641063,9128459,147.103,143.23651,6.76559,3
6,1,1,112.27758,-7.87867,640813,9128959,139.383,141.76153,7.21255,3
6,0,1,112.27767,-7.87842,640813,9128959,139.383,141.76153,7.23295,3
6,0,1,112.27708,-7.87776,640813,9128959,139.383,139.13747,7.32677,3
0,0,2,112.28126,-7.88191,641313,9128459,148.653,143.23651,6.72282,3
0,0,2,112.28091,-7.8819,641313,9128459,148.653,143.23651,6.73865,3
0,0,2,112.28183,-7.88177,641313,9128459,148.653,143.23651,6.71279,3
0,0,2,112.28003,-7.88157,641063,9128459,147.103,143.23651,6.80961,3
0,0,2,112.28001,-7.88141,641063,9128709,144.057,143.23651,6.8272,3
0,0,2,112.27993,-7.88139,641063,9128709,144.057,143.23651,6.83266,3
0,0,2,112.27985,-7.88139,641063,9128709,144.057,143.23651,6.83615,3
0,0,2,112.28014,-7.88143,641063,9128709,144.057,143.23651,6.81961,3
0,0,2,112.28011,-7.88133,641063,9128709,144.057,143.23651,6.8306,3
0,0,2,112.27987,-7.88121,641063,9128709,144.057,143.23651,6.85363,3
0,0,2,112.28023,-7.88119,641063,9128709,144.057,143.23651,6.84014,3
0,0,2,112.28022,-7.88111,641063,9128709,144.057,143.23651,6.8485,3
0,0,2,112.2806,-7.88086,641063,9128709,144.057,143.23651,6.85725,3
0,0,2,112.2809,-7.8811,641313,9128709,145.504,143.23651,6.82045,3
0,0,2,112.281,-7.88114,641313,9128709,145.504,143.23651,6.81198,3
0,0,2,112.28097,-7.88093,641313,9128709,145.504,143.23651,6.83487,3
0,0,2,112.28139,-7.88106,641313,9128709,145.504,143.23651,6.80419,3
2,0,2,112.28138,-7.88089,641313,9128709,145.504,143.23651,6.82242,3
0,0,2,112.28118,-7.88069,641313,9128709,145.504,143.23651,6.85062,3
0,0,2,112.2809,-7.88074,641313,9128709,145.504,143.23651,6.85745,3
0,0,2,112.28035,-7.8806,641063,9128709,144.057,143.23651,6.89469,3
0,0,2,112.28056,-7.8807,641063,9128709,144.057,143.23651,6.87596,3
0,0,2,112.28069,-7.8807,641063,9128709,144.057,143.23651,6.8698,3
0,0,2,112.28077,-7.88074,641313,9128709,145.504,143.23651,6.86292,3
0,0,2,112.28002,-7.88084,641063,9128709,144.057,143.23651,6.88434,3
0,0,2,112.27984,-7.88065,641063,9128709,144.057,143.23651,6.9114,3
0,0,2,112.27974,-7.88051,641063,9128709,144.057,143.23651,6.92996,3
0,0,2,112.27881,-7.88111,641063,9128709,144.057,141.76153,6.91017,3
