lat,long,easting,northing,altitude_m,thickness_mm,load_kg.m2,largestClast_mm
-7.931777778,112.2878333,641953,9123024.034,1198,120,168,
-7.859138889,112.2889722,642104,9131055.914,486,80,112,70
-7.844333333,112.2643056,639389,9132701.354,386,80,112,80
-7.911833333,112.2375556,636417,9125246.272,582,80,112,100
-7.913361111,112.2446111,637194,9125075.016,660,80,112,100
-7.882277778,112.3635833,650322,9128471.143,652,75,105,
-7.858305556,112.3013611,643470,9131143.84,505,60,84,90
-7.84275,112.3710833,651164,9132839.477,636,60,84,
-7.882166667,112.36375,650341,9128483.37,653,60,84,
-7.932777778,112.1823333,630322,9122948.062,368,60,84,20
-7.961388889,112.23625,636257,9119767.038,578,60,84,100
-7.92775,112.2458333,637324,9123483.541,695,60,84,
-7.864833333,112.1998889,632279,9130455.431,301,60,84,60
-7.882777778,112.2141111,633842,9128466.705,390,60,84,100
-7.904638889,112.2284444,635415,9126044.779,512,60,84,80
-7.971055556,112.2244444,634952,9118702.01,506,50,70,90
-7.926777778,112.2296944,635545,9123596.347,601,50,70,
-7.848027778,112.3723333,651300,9132255.402,652,45,63,
-7.941305556,112.2155,633976,9121994.54,506,40,56,
-7.929111111,112.2014167,632427,9123347.462,441,40,56,
-7.932944444,112.1788333,629936,9122930.73,423,40,56,
-7.927888889,112.2458611,637327,9123468.174,659,40,56,
-7.822305556,112.1795,630045,9135164.262,211,35,49,20
-7.953388889,112.2188056,634336,9120657.35,509,30,42,
-7.842222222,112.0088056,611217,9133011.055,77,30,42,
-7.923361111,112.1356667,625181,9124003.648,255,30,42,15
-7.929333333,112.1626944,628158,9123335.041,312,30,42,40
-7.890611111,112.1377778,625423,9127624.25,233,30,42,25
-7.829277778,111.9614722,606002,9134454.513,170,25,35,
-7.875416667,112.0035,610624,9129342.239,96,25,35,
-7.853694444,112.1704167,629033,9131696.292,241,25,35,60
-7.759305556,112.1748333,629549,9142131.799,136,20,28,
-7.960472222,112.2010556,632377,9119879.829,438,20,28,20
-7.976805556,112.2236389,634862,9118066.462,493,20,28,20
-7.900611111,111.9933611,609499,9126559.233,98,20,28,
-7.778305556,112.1877778,630971,9140026.93,149,20,28,
-7.77975,112.1236944,623903,9139886.513,105,20,28,
-7.817,112.0652222,617445,9135784.492,92,20,28,
-7.797138889,112.2151944,633989,9137935.861,207,15,21,40
-7.827916667,112.3078889,644200,9134501.961,320,15,21,
-7.857083333,111.98775,608892,9131373.431,65,15,21,
-7.894527778,111.9645278,606322,9127239.31,81,15,21,
-7.748027778,111.9688056,606831,9143436.125,113,15,21,
-7.780944444,112.0052778,610845,9139787.292,85,12,16.8,
-7.964166667,112.1745278,629452,9119479.717,342,10,14,46
-8.02125,112.1154167,622919,9113185.954,213,10,14,28
-8.002472222,112.1214167,623586,9115260.451,227,10,14,30
-7.990583333,112.1433056,626002,9116568.401,267,10,14,26
-7.978138889,112.1831667,630400,9117932.035,357,10,14,34
-8.023333333,112.2386111,636496,9112916.659,391,10,14,94
-8.018583333,112.2965278,642882,9113422.194,468,10,14,94
-7.762583333,112.2061667,633004,9141759.666,157,10,14,
-7.748027778,112.25725,638642,9143352.802,158,10,14,
-7.747388889,112.3443889,648254,9143394.028,488,10,14,
-7.767055556,112.0118611,611574,9141321.215,85,10,14,
-7.931666667,111.9881389,608915,9123126.881,98,10,14,
-7.949777778,112.0171667,612110,9121116.642,120,10,14,
-7.96575,112.0352222,614096,9119345.682,133,10,14,
-7.970444444,112.0972778,620935,9118808.97,199,10,14,10
-7.766888889,112.1644167,628398,9141296.458,120,10,14,
-7.936888889,112.1774722,629785,9122495.004,351,5,7,42
-8.056666667,112.15425,627188,9109257.98,236,5,7,
-8.034694444,112.1261944,624103,9111696.128,233,5,7,20
-7.737944444,112.2180278,634320,9144480.36,140,5,7,
-7.721861111,112.2290833,635544,9146255.265,125,5,7,
-7.730777778,112.3233056,645934,9145238.163,308,5,7,
-7.809944444,112.2919722,642451,9136494.715,201,5,7,55
-7.784194444,112.3120556,644675,9139335.273,248,5,7,
-7.872111111,111.9025556,599496,9129733.082,450,5,7,
-7.867861111,111.8743889,596391,9130209.571,685,5,7,
-8.011472222,112.2143611,633828,9114236.196,368,5,7,
-7.998722222,112.19325,631505,9115652.839,363,2,2.8,26
-8.015111111,112.2112778,633487,9113834.827,360,2,2.8,26
-7.692472222,112.268,639846,9149492.409,114,2,2.8,
-7.684416667,112.3004722,643431,9150372.425,109,2,2.8,
-7.660472222,111.9110278,600480,9153130.672,91,2,2.8,
-7.688083333,112.0203611,612533,9150050.7,79,2,2.8,
-7.599666667,111.9045833,599783,9159855.018,84,1,1.4,
-7.602166667,111.9433056,604054,9159569.497,79,1,1.4,
-7.603555556,112.0213889,612668,9159396.392,73,1,1.4,
-7.673888889,112.0154167,611991,9151621.43,81,1,1.4,
